,Bunny_Data,Bunnydist,Humidity,Humidity_Data,LightLevel,Light_Data,Temperature,Temperature_Data
-O1RrZvI5f1hwQijQU3D,6.34856,419.31189,70.3,73.0,38.51038,84.10256,31.9,32.0
-O1Rrm6b9h11GMpmzS25,8.08929,419.31189,70.3,73.0,38.51038,83.76068,31.9,32.0
-O1Rs1JHDmBddblh4imO,6.14376,419.31189,70.3,73.1,38.51038,84.05373,31.9,32.0
-O1RsDWQ7kSjYB4zgrM_,6.34856,419.31189,70.3,73.1,38.51038,84.00488,31.9,32.0
-O1RsQWaw18ADax1U7uC,6.65574,419.31189,70.3,73.2,38.51038,83.93163,31.9,32.0
-O1Rscvd0mNdlbfp3W_c,7.67971,419.31189,70.3,73.1,38.51038,83.83395,31.9,32.0
-O1Rsqugoc_EtLU8z6vF,6.75814,419.31189,70.3,73.0,38.51038,84.05373,31.9,32.0
-O1Rt4WPm-REL-hWj0GX,7.98689,419.31189,70.3,73.0,38.51038,83.88278,31.9,32.0
-O1RtGuodMbvv5UJj_sB,7.57731,419.31189,70.3,73.0,38.51038,83.93163,31.9,32.0
-O1RtTWx2kc6-otWvKov,5.83658,419.31189,70.3,73.0,38.51038,83.71185,31.9,32.0
-O1RtitXb6wEQydVzNed,6.34856,419.31189,70.3,72.9,38.51038,83.58974,31.9,32.0
-O1RtwucMBeRdgnXVjaV,6.65574,419.31189,70.3,72.8,38.51038,83.80952,31.9,32.0
-O1Ru9ufXmyNVN67o1Fx,6.24616,419.31189,70.3,72.9,38.51038,83.73627,31.9,32.0
-O1RuKv28b_Sbl2HA2qu,6.65574,419.31189,70.3,72.8,38.51038,84.00488,31.9,32.1
-O1Ru_J7uU_SfI4y1IFs,7.47491,419.31189,70.3,72.7,38.51038,83.85837,31.9,32.1
-O1Rul7SE_zoT3b6PE2T,6.65574,419.31189,70.3,72.7,38.51038,83.63859,31.9,32.1
-O1RuzieSPRyNhryu-iX,7.57731,419.31189,70.3,72.7,38.51038,83.76068,31.9,32.1
-O1RvB6_lPCdLa3Af5rO,7.27012,419.31189,70.3,72.7,38.51038,83.63859,31.9,32.1
-O1RvPhw94fN8M7dnUcF,6.75814,419.31189,70.3,72.6,38.51038,83.7851,31.9,32.1
-O1RvcJf0W9JdQwCtKSc,6.96293,419.31189,70.3,72.6,38.51038,37.09402,31.9,32.1
-O1RvmvoaMRsrukxW9UE,419.31189,419.31189,70.3,72.5,38.51038,23.46764,31.9,32.1
-O1Rw-vp4rmXcW8iBEC8,419.31189,419.31189,70.3,72.6,38.51038,23.46764,31.9,32.1
-O1RwD6kSAFujaT4S1Ee,419.31189,419.31189,70.3,72.5,38.51038,23.39438,31.9,32.1
-O1RwRWUgC8yo1b3MAVS,419.31189,419.31189,70.3,72.5,38.51038,18.4127,31.9,32.1
-O1RweJfmV4QyVuU2oa4,419.31189,419.31189,70.3,72.5,38.51038,18.48596,31.9,32.1
-O1Rwri3H31vdWXQ7Qii,419.31189,419.31189,70.3,72.4,38.51038,18.48596,31.9,32.1
-O1Rx3i85ULc8Vj6dLoJ,419.31189,419.31189,70.3,72.5,38.51038,18.38828,31.9,32.1
-O1RxJ6xXFP5BQAWOKGR,419.31189,419.31189,70.3,72.8,38.51038,18.6569,31.9,32.0
-O1RxWXFf5LQHyV13yXD,419.31189,419.31189,70.3,72.9,38.51038,18.48596,31.9,32.0
-O1RxjiPeSYK5-9WKpJN,419.31189,419.31189,70.3,72.8,38.51038,18.51038,31.9,32.0
-O1RxvWq-_nc-_pjmPrF,419.31189,419.31189,70.3,72.6,38.51038,18.43712,31.9,32.0
-O1RyA8iUzXc5OVrpYa-,419.31189,419.31189,70.3,72.7,38.51038,18.4127,31.9,32.0
-O1RyMJweFrEyISCg-tD,419.31189,419.31189,70.3,72.7,38.51038,18.4127,31.9,32.0
-O1RyZYXDSElnctXNdYy,419.31189,419.31189,70.3,72.7,38.51038,18.48596,31.9,31.9
-O1RylXLw4p5r3Ajdgt2,419.31189,419.31189,70.3,72.9,38.51038,18.55922,31.9,31.9
